 l   Observ.  Sur.Corr. Uncorr   
  0 144.02200 143.86018 143.73235 
  0 160.54300 160.45198 160.37744 
  0 177.57200 177.56725 177.64500 
  0 194.77800 194.82164 195.14201 
  0 212.04000 212.11226 212.73131 
  0 229.59000 229.67520 230.61591 
  0 247.34800 247.32616 248.60454 
  0 265.19000 265.05420 266.64154 
  1 149.50700 149.49318 149.47987 
  1 151.11300 151.12633 151.10245 
  1 152.66100 152.63023 152.60289 
  1 154.19100 154.21544 154.19916 
  1 156.07200 156.01611 156.00806 
  1 168.27300 168.27771 168.27403 
  1 170.01100 170.04843 170.04865 
  1 172.02800 172.04935 172.05194 
  1 176.84200 176.80359 176.80721 
  1 179.32900 179.34862 179.35402 
  1 181.93900 181.92369 181.93449 
  1 184.40000 184.39697 184.42632 
  1 186.46900 186.51666 186.57770 
  1 188.58500 188.68306 188.72870 
  1 191.30000 191.33090 191.35542 
  1 194.27000 194.25484 194.27422 
  1 197.31000 197.29210 197.31676 
  1 200.35700 200.30916 200.36104 
  1 202.94300 202.94469 203.08421 
  1 205.21000 205.27509 205.42184 
  1 208.23200 208.24586 208.31334 
  1 211.66000 211.66193 211.70619 
  1 215.25000 215.23003 215.28506 
  1 218.71000 218.66464 218.79886 
  1 221.36000 221.35768 221.66388 
  1 224.25000 224.30571 224.48737 
  1 228.15000 228.12144 228.20644 
  1 232.25000 232.23158 232.31624 
  1 236.22900 236.20236 236.40141 
  1 239.13200 239.15518 239.63808 
  1 242.60800 242.58188 242.83591 
  1 251.86500 251.81882 251.98119 
  1 255.75400 255.71368 256.23978 
  1 258.93700 258.89233 259.42593 
  1 273.44700 273.53271 274.19244 
  2 157.97600 157.98994 157.95343 
  2 174.88000 174.77347 174.79652 
  2 175.38800 175.47986 175.49654 
  2 192.42400 192.41028 192.59204 
  2 209.82700 209.88725 210.29063 
  2 227.22100 227.35060 227.65465 
