_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
291.2890417|+36.7499722| 1027110|19250937+3644599|4177.6|-0.232| 0.205|  6.496| 1.132|RGB     | 1.0458| 0.985| 0.044|23.412| 0.017| 1.692| 0.007| 1.08e-04| 0.008| 4.002| 0.269|SeisUnc         |  0|KCat|Sloan|Simbad|291.28904|+36.74997
291.3342083|+36.7866111| 1027337|19252021+3647118|4636.0| 0.275| 0.023| 73.975| 6.991|RGB     | 1.0333| 1.227| 0.038| 7.544| 0.014| 2.772| 0.007| 4.03e-03| 0.007| 3.798| 0.214|                |  0|KCat|Sloan|Simbad|291.33421|+36.78661
290.8866667|+36.8724167| 1160789|19233280+3652207|4729.6|-0.257| 0.188| 25.209| 3.545|RC      | 0.9965| 0.875| 0.082|10.860| 0.025| 2.308| 0.010| 9.64e-04| 0.008| 3.889| 0.009|                |  0|KCat|Sloan|Simbad|290.88667|+36.87242
290.9510417|+36.8298889| 1160986|19234825+3649476|4339.7| 0.135| 0.029|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|290.95104|+36.82989
291.0727500|+36.8627778| 1161447|19241746+3651460|4776.1| 0.058|-0.006| 37.066| 4.153|RC      | 1.0030| 1.460| 0.076|11.540| 0.022| 2.478| 0.010| 1.34e-03| 0.008| 3.396| 0.400|                |  0|KCat|Sloan|Simbad|291.07275|+36.86278
291.1089167|+36.8132778| 1161618|19242614+3648478|4742.0| 0.064| 0.005| 33.926| 4.093|RC      | 1.0010| 1.183| 0.077|10.879| 0.023| 2.438| 0.010| 1.30e-03| 0.008| 3.639| 0.199|                |  0|KCat|Sloan|Simbad|291.10892|+36.81328
291.2412917|+36.8916111| 1162220|19245791+3653298|4190.1| 0.083| 0.070| 11.000| 1.669|RGB     | 1.0484| 1.007| 0.044|18.175| 0.017| 1.922| 0.007| 2.36e-04| 0.008| 4.056| 0.181|                |  0|KCat|Sloan|Simbad|291.24129|+36.89161
291.3599583|+36.8198889| 1162746|19252639+3649116|4798.1|-0.388| 0.229| 27.798| 3.763|RC      | 0.9972| 0.941| 0.080|10.688| 0.024| 2.354| 0.010| 1.09e-03| 0.008| 3.786| 0.172|                |  1|KCat|Sloan|Simbad|291.35996|+36.81989
291.4401667|+36.8465278| 1163114|19254564+3650475|4285.8| 0.297| 0.025| 14.356| 1.887|RGB     | 1.0396| 1.467| 0.043|19.097| 0.016| 2.042| 0.007| 2.97e-04| 0.008| 3.538| 0.382|                |  0|KCat|Sloan|Simbad|291.44017|+36.84653
291.4932500|+36.8488056| 1163359|19255838+3650557|4571.9|-0.339| 0.218| 21.468| 2.632|RGB     | 1.0346| 1.454| 0.043|15.297| 0.016| 2.231| 0.007| 5.72e-04| 0.008| 3.376| 0.195|                |  0|KCat|Sloan|Simbad|291.49325|+36.84881
