l  ,  freq
1  ,  149.507 
1  ,  151.113 
1  ,  154.191 
1  ,  156.072 
0  ,  144.022 
1  ,  152.661 
2  ,  157.976 
0  ,  160.543 
1  ,  168.273 
1  ,  170.011 
1  ,  172.028 
2  ,  174.880 
2  ,  175.388 
1  ,  176.842 
0  ,  177.572 
1  ,  179.329 
1  ,  181.939 
1  ,  184.400 
1  ,  186.469 
1  ,  188.585 
1  ,  191.30  
2  ,  192.424 
1  ,  194.27  
0  ,  194.778 
1  ,  197.31  
1  ,  200.357
1  ,  202.943
1  ,  205.21 
1  ,  208.232
2  ,  209.827
1  ,  211.66 
0  ,  212.040
1  ,  215.25 
1  ,  218.71 
1  ,  221.36 
1  ,  224.25 
2  ,  227.221
1  ,  228.15 
0  ,  229.59 
1  ,  232.25 
1  ,  236.229
1  ,  239.132
1  ,  242.608
0  ,  247.348
1  ,  251.865
1  ,  255.754
1  ,  258.937
0  ,  265.190
1  ,  273.447	 
