KIC,Mass,e_Mass,Age,e_Age,logg,e_logg,Radius,e_Radius,Lum,e_Lum,He-core-mass,e_He-core-mass,Teff,MH,e_MH  
2991448, 0.99,0.04,10.18, 1.18,3.974,0.010, 1.70, 0.04, 2.60, 0.20, 0.094, 0.004   , 5623 ,-0.10 , 0.08
4346201, 1.33,0.02, 3.03, 0.07,3.974,0.004, 1.98, 0.03, 5.20, 0.20, 0.098, 0.007   , 6058 ,-0.21 , 0.08
5108214, 1.50,0.01, 3.15, 0.17,3.800,0.003, 2.55, 0.03, 7.00, 0.35, 0.128, 0.005   , 5799 , 0.17 , 0.08
5607242, 1.23,0.09, 4.44, 0.93,3.764,0.011, 2.38, 0.06, 4.60, 0.35, 0.139, 0.003   , 5485 ,-0.06 , 0.08
5689820, 1.19,0.12, 6.45, 2.21,3.778,0.014, 2.33, 0.08, 3.10, 0.35, 0.143, 0.005   , 5037 , 0.22 , 0.08
5955122, 1.12,0.05, 5.81, 0.65,3.862,0.007, 2.04, 0.04, 4.50, 0.30, 0.107, 0.004   , 5877 ,-0.20 , 0.08
6064910, 1.51,0.02, 2.21, 0.12,3.856,0.004, 2.42, 0.02, 8.90, 0.50, 0.110, 0.002   , 6376 ,-0.27 , 0.08
6370489, 1.12,0.05, 5.13, 0.66,3.896,0.009, 1.98, 0.03, 5.10, 0.35, 0.096, 0.003   , 6184 ,-0.40 , 0.08
6442183, 0.96,0.07,10.57, 1.95,4.002,0.011, 1.62, 0.04, 2.50, 0.20, 0.085, 0.007   , 5702 ,-0.20 , 0.08
6693861, 1.01,0.05, 7.57, 0.97,3.828,0.009, 2.04, 0.05, 3.70, 0.30, 0.119, 0.004   , 5626 ,-0.37 , 0.08
6766513, 1.33,0.10, 2.62, 0.15,3.926,0.016, 2.11, 0.05, 6.40, 0.35, 0.101, 0.002   , 6227 ,-0.17 , 0.08
7199397, 1.39,0.03, 3.09, 0.08,3.754,0.005, 2.57, 0.02, 7.40, 0.35, 0.135, 0.003   , 5903 ,-0.13 , 0.08
7747078, 1.11,0.06, 6.22, 0.79,3.912,0.008, 1.92, 0.03, 4.00, 0.25, 0.098, 0.004   , 5903 ,-0.24 , 0.08
7976303, 1.10,0.05, 5.36, 0.59,3.886,0.007, 1.97, 0.03, 5.00, 0.30, 0.096, 0.003   , 6079 ,-0.50 , 0.08
8524425, 0.97,0.04,10.40, 1.14,3.952,0.009, 1.71, 0.03, 2.60, 0.20, 0.097, 0.006   , 5543 , 0.07 , 0.08
8702606, 1.22,0.09, 4.33, 0.77,3.752,0.010, 2.42, 0.06, 4.80, 0.45, 0.138, 0.005   , 5529 ,-0.15 , 0.08
8738809, 1.53,0.01, 2.51, 0.17,3.916,0.004, 2.26, 0.03, 6.20, 0.25, 0.107, 0.006   , 6045 , 0.20 , 0.08
9512063, 1.12,0.07, 5.81, 0.89,3.866,0.009, 2.04, 0.04, 4.30, 0.35, 0.110, 0.006   , 5838 ,-0.20 , 0.08
10147635, 1.47,0.06, 2.75, 0.06,3.740,0.005, 2.69, 0.05, 8.50, 0.40, 0.133, 0.005  ,5941  ,-0.02 , 0.08
10972873, 1.06,0.07, 7.97, 1.28,3.954,0.010, 1.80, 0.04, 3.10, 0.20, 0.096, 0.005  ,5705  ,-0.08 , 0.08
11026764, 1.18,0.08, 5.69, 0.68,3.884,0.009, 2.06, 0.04, 3.80, 0.25, 0.114, 0.004  ,5636  , 0.04 , 0.08
11137075, 0.91,0.05,13.21, 2.17,4.002,0.009, 1.58, 0.04, 2.00, 0.20, 0.093, 0.006  ,5510  ,-0.13 , 0.08
11193681, 1.36,0.07, 3.72, 0.10,3.812,0.007, 2.40, 0.04, 4.90, 0.40, 0.134, 0.003  ,5575  , 0.23 , 0.08
11414712, 1.18,0.08, 4.93, 0.70,3.804,0.010, 2.25, 0.05, 4.50, 0.40, 0.127, 0.004  ,5622  ,-0.14 , 0.08
11771760, 1.39,0.06, 2.65, 0.07,3.650,0.004, 2.95, 0.03, 9.50, 0.85, 0.153, 0.003  ,5796  ,-0.05 , 0.08
12508433, 1.27,0.07, 4.97, 0.70,3.832,0.010, 2.25, 0.05, 3.60, 0.30, 0.135, 0.003  ,5303  , 0.23 , 0.08
