kic,teff,logg,feh_apo,feh_hds,feh_hires,numax,dis,ra,dec,evstate
1005360,0.0,0.0,-99.0,-99.0,-0.5375546942717876,0.0,0.0,0.0,0.0,0.0
1725190,5054.0,2.929,-0.058935537934303284,-0.06233344540156624,-99.0,98.48,493.891,292.29404,37.225182,2.0
2011870,4023.0,1.531,-9999.0,-0.4445575817867496,-99.0,0.0,5080.561,290.81894,37.482239,0.0
2309550,4863.0,2.604,-0.08737741410732269,-0.05728569145784629,-99.0,50.32,582.075,292.89111,37.669991,2.0
2856817,5191.0,2.403,-99.0,-99.0,-0.9595550797647272,31.79,3251.358,292.35406,38.093441,2.0
3326775,5146.0,3.474,-99.0,-99.0,-0.5814294911505778,229.96,1575.505,286.71588,38.46489,1.0
3427850,4922.0,2.322,-0.25837916135787964,-0.21539699278316188,-99.0,27.09,600.443,286.48267,38.59108,2.0
3833399,4855.0,2.471,-0.024739684537053108,-0.01619680062889508,-99.0,37.12,542.328,285.67938,38.916512,2.0
4254688,4837.0,2.273,-99.0,-0.39786450793489914,-99.0,21.81,20157.7,289.478,39.39687,2.0
4346266,4240.0,1.768,-0.29216131567955017,-0.435611183832465,-99.0,7.58,5087.692,285.31113,39.46788,1.0
4469317,5171.0,2.856,-99.0,-99.0,-0.8179354764106863,84.84,1925.171,292.99023,39.537552,1.0
4545619,5117.0,3.319,-99.0,-99.0,-0.8059576143631332,29.5,3007.051,286.35077,39.65163,2.0
4741003,5236.0,3.468,-99.0,-99.0,-0.7122279409942609,163.46,1988.175,290.05466,39.86834,1.0
4939895,4426.0,2.2,-0.0032898113131523132,-0.036028352575924315,-0.18394390846512296,19.69,866.762,295.92297,40.015709,1.0
4995218,4532.0,2.046,-0.048243194818496704,-0.03689678308124317,-0.29324179496306746,14.36,1025.686,286.33838,40.112499,0.0
5446233,5284.0,2.457,-99.0,-0.406117084660737,-99.0,31.61,16205.97,291.13162,40.686199,2.0
5515642,5138.0,2.419,-99.0,-0.6414855485062109,-99.0,30.87,16338.73,285.30698,40.702961,2.0
5522939,5140.0,2.281,-99.0,-1.3260847947495058,-99.0,22.14,17331.56,288.40054,40.729752,2.0
5530526,5459.0,3.753,-99.0,-99.0,-0.19473896500920806,130.96,2237.88,290.79919,40.772289,1.0
5773100,5322.0,2.41,-99.0,-1.4150088396815,-99.0,0.0,15123.4,285.32327,41.046101,0.0
5785742,4624.0,2.151,-99.0,-0.421463284115675,-99.0,17.66,15111.39,290.14398,41.077961,0.0
5795626,5100.0,2.526,-0.7715877294540405,-0.6270378739082385,-0.7578230093484489,37.89,642.591,293.28607,41.052391,2.0
5807711,5241.0,3.576,-99.0,-99.0,-0.8917619301963389,210.15,1320.909,296.37582,41.092819,1.0
5938297,5350.0,3.512,-99.0,-99.0,-2.6689603441878256,70.49,2890.543,283.01614,41.250381,2.0
6020959,4930.0,2.465,-99.0,-99.0,-0.5025458776629823,36.52,3643.738,283.06665,41.381889,2.0
6198476,4857.0,2.789,-0.15586277842521667,-0.34157817991033484,-99.0,75.02,446.691,289.77347,41.568111,1.0
6272933,4676.0,2.503,0.19248522818088531,0.1340635485402331,-99.0,40.44,598.895,287.52112,41.645409,2.0
6276898,4950.0,2.57,-0.1751963198184967,-0.1288340105113474,-99.0,46.27,566.309,289.14374,41.675812,2.0
6278241,5053.0,2.152,-99.0,-1.52337319845775,-99.0,14.71,25168.14,289.59561,41.639118,0.0
6590668,4463.0,2.019,-0.1884215921163559,-0.15238443266025764,-99.0,0.0,948.655,286.57904,42.034729,0.0
6610354,4944.0,2.606,-0.1674700677394867,-0.33408176842933907,-99.0,47.54,716.638,293.06519,42.049492,2.0
6629205,4707.0,2.461,-0.02235175110399723,0.0048713056864369,-99.0,37.03,603.059,297.68231,42.072521,2.0
6631489,4613.0,2.207,0.024800948798656464,0.022887415384898913,-99.0,20.78,834.173,298.13538,42.006409,0.0
6696436,4630.0,2.331,-0.3920779228210449,-0.3170906466076567,-99.0,25.5,592.905,293.25189,42.166679,1.0
6766118,4892.0,2.732,0.04280702769756317,0.03335354554504696,-99.0,0.0,556.988,288.11716,42.27338,0.0
6923677,4924.0,2.704,-0.05735400691628456,-0.05651945224506957,-99.0,60.62,618.743,282.08478,42.4338,2.0
7008049,5145.0,2.568,-99.0,-0.8142172540981537,-99.0,45.17,15389.37,281.50247,42.574268,2.0
7014894,5074.0,2.779,0.05940891429781914,0.06417893911276214,-99.0,74.57,498.15,284.77246,42.581741,2.0
7098510,4793.0,2.64,-0.018804941326379776,-0.008189410828622005,-99.0,37.25,518.809,284.74619,42.633018,2.0
7257175,5226.0,2.831,-99.0,-99.0,-0.6368965319362335,80.41,2305.884,281.95566,42.807091,1.0
7259558,5106.0,2.308,-99.0,-1.3166420758391213,-99.0,24.2,9339.05,283.06927,42.875519,2.0
7434916,4961.0,2.426,-99.0,-0.6207948973957946,-99.0,32.08,16412.91,288.65497,43.053902,2.0
7585122,4729.0,2.504,0.16698066890239716,0.09300409888703581,-99.0,39.54,561.406,282.51599,43.268051,2.0
7635173,5047.0,2.375,-99.0,-99.0,-1.2187035068038228,30.71,1360.79,298.95837,43.269588,2.0
7660280,5440.0,2.499,-99.0,-1.335847899998407,-99.0,36.7,7382.299,281.68027,43.32452,2.0
7744523,5172.0,3.689,-99.0,-99.0,-0.6197347566649991,150.51,1926.153,288.6463,43.456982,1.0
7867760,5148.0,3.845,-99.0,-99.0,-0.4691360367701442,0.0,1198.237,280.48203,43.694641,0.0
7879709,5220.0,2.193,-99.0,-1.7165335398858068,-1.6362653461465146,18.37,26106.41,287.26337,43.694859,0.0
7885167,5349.0,3.647,-99.0,-99.0,-0.42308114383198764,203.33,1790.496,289.81183,43.666641,1.0
8006173,5139.0,2.373,-99.0,-0.7541114075542056,-99.0,28.52,14863.61,281.14883,43.823719,2.0
8017367,4942.0,2.488,-99.0,-99.0,-0.48003606025614665,37.33,3310.178,287.28009,43.82819,1.0
8144907,5721.0,3.342,-99.0,-99.0,-2.572067691169675,208.2,1307.089,282.24908,44.02177,1.0
8299794,5367.0,2.579,-99.0,-0.8574528433249256,-99.0,40.78,2814.924,291.82364,44.252338,2.0
8346507,4305.0,2.074,-99.0,-0.7499165975610277,-99.0,14.67,12455.22,282.78461,44.32325,0.0
8350593,5504.0,3.718,-99.0,-99.0,-1.1649617408682864,0.0,3343.323,285.01663,44.382092,0.0
8408974,4768.0,2.376,-99.0,-99.0,-0.3753116885960682,28.06,3083.426,281.07056,44.493851,2.0
8411296,5107.0,1.994,-99.0,-1.5462089638386094,-1.6932307923411474,11.25,17537.15,282.52658,44.401669,0.0
8539201,4946.0,2.451,-0.6138887405395508,-0.505843978206491,-0.6319824868834119,33.63,686.339,281.67349,44.685131,2.0
8543200,5108.0,2.507,-0.22497554123401642,-0.17519066281919998,-99.0,40.1,638.262,283.89685,44.67263,2.0
8564109,5243.0,2.414,-99.0,-99.0,-0.9882646400066261,30.86,3222.958,293.45944,44.699558,2.0
8611078,5440.0,3.698,-99.0,-99.0,-1.6267618594622264,58.67,3053.05,285.62582,44.791901,1.0
8619736,5255.0,3.679,-99.0,-99.0,-0.6260288757935958,110.81,2673.963,289.97165,44.759171,1.0
8933234,5113.0,3.427,-99.0,-99.0,-0.28072382143168784,181.87,1627.658,282.9545,45.232029,1.0
9173371,5066.0,2.901,-0.07332943379878998,-0.07500788426678143,-99.0,100.48,467.369,298.20142,45.528889,2.0
9210141,4010.0,1.395,-0.08369871228933334,-0.5047279056539521,-99.0,0.0,7002.382,288.08047,45.626862,0.0
