   2991448 &  $5623^{+92}_{-67}$ &  61.7 &  1138   & $-0.10\pm0.08$ &  2  \\
   4346201 &  $6058^{+90}_{-72}$ &  56.2 &  1020   & $-0.21\pm0.08$ &  2  \\
   5108214 &  $5799^{+78}_{-78}$ &  41.2 &   700   & $ 0.17\pm0.08$ &  2  \\
   5607242 &  $5485^{+81}_{-81}$ &  40.5 &   665   & $-0.06\pm0.08$ &  2  \\
   5689820 &  $5037^{+70}_{-81}$ &  41.1 &   680   & $ 0.22\pm0.08$ &  2  \\
   5955122 &  $5877^{+70}_{-88}$ &  49.4 &   854   & $-0.20\pm0.08$ &  2  \\
   6064910 &  $6376^{+83}_{-76}$ &  44.4 &   826   & $-0.27\pm0.08$ &  2  \\
   6370489 &  $6184^{+80}_{-80}$ &  51.6 &   893   & $-0.40\pm0.08$ &  2  \\
   6442183 &  $5702^{+76}_{-76}$ &  64.6 &  1068   & $-0.20\pm0.08$ &  2  \\
   6693861 &  $5626^{+67}_{-101}$ &  47.1 &  753   & $-0.37\pm0.08$ &  2  \\
   6766513 &  $6227^{+81}_{-75}$ &  51.1 &   872   & $-0.17\pm0.08$ &  2  \\
   7199397 &  $5903^{+79}_{-79}$ &  38.7 &   632   & $-0.13\pm0.08$ &  2  \\
   7747078 &  $5903^{+88}_{-61}$ &  53.6 &   905   & $-0.24\pm0.08$ &  2  \\
   7976303 &  $6079^{+72}_{-90}$ &  51.1 &   832   & $-0.50\pm0.08$ &  2  \\
   8524425 &  $5543^{+116}_{-58}$ &  59.9 &  1040  & $ 0.07\pm0.08$ &  2  \\
   8702606 &  $5529^{+74}_{-90}$ &  39.4 &   631   & $-0.15\pm0.08$ &  2  \\
   8738809 &  $6045^{+72}_{-72}$ &  49.5 &   875   & $ 0.20\pm0.08$ &  2  \\
   9512063 &  $5838^{+78}_{-78}$ &  49.5 &   860   & $-0.20\pm0.08$ &  2  \\
  10147635 &  $5941^{+89}_{-71}$ &  37.2 &   587   & $-0.02\pm0.08$ &  2  \\
  10972873 &  $5705^{+85}_{-77}$ &  58.1 &   987   & $-0.08\pm0.08$ &  2  \\
  11026764 &  $5636^{+84}_{-75}$ &  50.2 &   850   & $ 0.04\pm0.08$ &  2  \\
  11137075 &  $5510^{+91}_{-58}$ &  65.0 &  1082   & $-0.13\pm0.08$ &  2  \\
  11193681 &  $5575^{+83}_{-75}$ &  42.6 &   702   & $ 0.23\pm0.08$ &  2  \\
  11414712 &  $5622^{+84}_{-75}$ &  43.7 &   697   & $-0.14\pm0.08$ &  2  \\
  11771760 &  $5796^{+78}_{-78}$ &  32.3 &   539   & $-0.05\pm0.08$ &  2  \\
  12508433 &  $5303^{+84}_{-73}$ &  44.8 &   762   & $ 0.23\pm0.08$ &  2  \\
